Marker	Genotype	Morex	Steptoe
wg789a	dh002	0	1
wg789a	dh003	0	1
wg789a	dh004	0	1
wg789a	dh005	0	1
wg789a	dh006	0	1
wg789a	dh007	0	1
wg789a	dh008	1	0
wg789a	dh009	0	1
wg789a	dh010	0	1
wg789a	dh011	1	0
wg789a	dh012	1	0
wg789a	dh013	1	0
wg789a	dh014	1	0
wg789a	dh015	1	0
wg789a	dh016	1	0
wg789a	dh017	0	1
wg789a	dh018	1	0
wg789a	dh019	0	1
wg789a	dh020	1	0
wg789a	dh021	1	0
wg789a	dh022	1	0
wg789a	dh023	1	0
wg789a	dh024	0	1
wg789a	dh025	1	0
wg789a	dh026	1	0
wg789a	dh027	1	0
wg789a	dh028	1	0
wg789a	dh029	1	0
wg789a	dh030	0	1
wg789a	dh031	1	0
wg789a	dh032	1	0
wg789a	dh033	1	0
wg789a	dh034	0	1
wg789a	dh035	0	1
wg789a	dh036	0	1
wg789a	dh037	0	1
wg789a	dh038	1	0
wg789a	dh039	0	1
wg789a	dh040	1	0
wg789a	dh041	0	1
wg789a	dh042	1	0
wg789a	dh043	1	0
wg789a	dh044	1	0
wg789a	dh045	1	0
wg789a	dh046	0	1
wg789a	dh047	0	1
wg789a	dh048	0	1
wg789a	dh049	0	1
wg789a	dh050	0.994969	0.005031
wg789a	dh051	0	1
wg789a	dh052	1	0
wg789a	dh053	1	0
wg789a	dh054	1	0
wg789a	dh055	1	0
wg789a	dh056	0	1
wg789a	dh057	0	1
wg789a	dh058	1	0
wg789a	dh059	0	1
wg789a	dh060	0	1
wg789a	dh061	1	0
wg789a	dh062	0	1
wg789a	dh063	0	1
wg789a	dh064	1	0
wg789a	dh065	0	1
wg789a	dh066	0	1
wg789a	dh067	0	1
wg789a	dh068	0	1
wg789a	dh069	1	0
wg789a	dh070	0	1
wg789a	dh071	0	1
wg789a	dh072	0	1
wg789a	dh073	0	1
wg789a	dh074	1	0
wg789a	dh075	0	1
wg789a	dh076	0	1
wg789a	dh077	1	0
wg789a	dh078	0	1
wg789a	dh079	1	0
wg789a	dh080	1	0
wg789a	dh081	1	0
wg789a	dh082	0	1
wg789a	dh083	0	1
wg789a	dh084	1	0
wg789a	dh085	0	1
wg789a	dh086	1	0
wg789a	dh087	1	0
wg789a	dh088	1	0
wg789a	dh089	0	1
wg789a	dh090	0	1
wg789a	dh091	1	0
wg789a	dh092	1	0
wg789a	dh093	1	0
wg789a	dh094	0	1
wg789a	dh095	1	0
wg789a	dh096	1	0
wg789a	dh097	1	0
wg789a	dh098	1	0
wg789a	dh099	1	0
wg789a	dh100	1	0
wg789a	dh101	0	1
wg789a	dh102	1	0
wg789a	dh103	1	0
wg789a	dh104	1	0
wg789a	dh105	1	0
wg789a	dh106	1	0
wg789a	dh107	0	1
wg789a	dh108	0	1
wg789a	dh109	1	0
wg789a	dh110	1	0
wg789a	dh111	1	0
wg789a	dh112	0	1
wg789a	dh113	0	1
wg789a	dh114	0	1
wg789a	dh115	1	0
wg789a	dh116	1	0
wg789a	dh117	0	1
wg789a	dh118	0	1
wg789a	dh119	1	0
wg789a	dh120	0	1
wg789a	dh121	0	1
wg789a	dh122	0	1
wg789a	dh123	0	1
wg789a	dh124	1	0
wg789a	dh125	1	0
wg789a	dh126	0	1
wg789a	dh127	1	0
wg789a	dh128	1	0
wg789a	dh129	0	1
wg789a	dh130	0	1
wg789a	dh131	1	0
wg789a	dh132	0	1
wg789a	dh133	1	0
wg789a	dh134	0	1
wg789a	dh135	0	1
wg789a	dh136	0	1
wg789a	dh137	0	1
wg789a	dh138	0	1
wg789a	dh139	0	1
wg789a	dh140	0	1
wg789a	dh141	1	0
wg789a	dh142	1	0
wg789a	dh143	0	1
wg789a	dh144	1	0
wg789a	dh145	0	1
wg789a	dh146	0	1
wg789a	dh147	0	1
wg789a	dh148	0	1
wg789a	dh149	0	1
wg789a	dh150	0	1
abg380	dh001	1	0
abg380	dh002	0	1
abg380	dh003	0	1
abg380	dh004	0	1
abg380	dh005	0	1
abg380	dh006	0	1
abg380	dh007	0	1
abg380	dh008	1	0
abg380	dh009	0	1
abg380	dh010	0	1
abg380	dh011	1	0
abg380	dh012	0	1
abg380	dh013	1	0
abg380	dh014	1	0
abg380	dh015	1	0
abg380	dh016	0.993769	0.006231
abg380	dh017	0	1
abg380	dh018	0.993769	0.006231
abg380	dh019	0	1
abg380	dh020	0.993769	0.006231
abg380	dh021	1	0
abg380	dh022	1	0
abg380	dh023	1	0
abg380	dh024	0	1
abg380	dh025	1	0
abg380	dh026	1	0
abg380	dh027	1	0
abg380	dh028	1	0
abg380	dh029	0	1
abg380	dh030	0	1
abg380	dh031	1	0
abg380	dh032	1	0
abg380	dh033	1	0
abg380	dh034	0	1
abg380	dh035	0	1
abg380	dh036	0	1
abg380	dh037	0	1
abg380	dh038	1	0
abg380	dh039	0	1
abg380	dh040	1	0
abg380	dh041	0	1
abg380	dh042	1	0
abg380	dh043	1	0
abg380	dh044	1	0
abg380	dh045	1	0
abg380	dh046	0	1
abg380	dh047	0	1
abg380	dh048	0.5835	0.4165
abg380	dh049	0	1
abg380	dh050	1	0
abg380	dh051	1	0
abg380	dh052	1	0
abg380	dh053	1	0
abg380	dh054	1	0
abg380	dh055	1	0
abg380	dh056	0	1
abg380	dh057	0	1
abg380	dh058	1	0
abg380	dh059	0	1
abg380	dh060	0	1
abg380	dh061	1	0
abg380	dh062	0	1
abg380	dh063	0	1
abg380	dh064	1	0
abg380	dh065	0	1
abg380	dh066	0	1
abg380	dh067	0	1
abg380	dh068	1	0
abg380	dh069	1	0
abg380	dh070	0	1
abg380	dh071	0	1
abg380	dh072	0	1
abg380	dh073	0	1
abg380	dh074	1	0
abg380	dh075	0	1
abg380	dh076	0	1
abg380	dh077	1	0
abg380	dh078	0	1
abg380	dh079	1	0
abg380	dh080	1	0
abg380	dh081	1	0
abg380	dh082	0.006231	0.993769
abg380	dh083	0	1
abg380	dh084	1	0
abg380	dh085	0	1
abg380	dh086	0	1
abg380	dh087	0	1
abg380	dh088	1	0
abg380	dh089	0	1
abg380	dh090	0	1
abg380	dh091	1	0
abg380	dh092	1	0
abg380	dh093	1	0
abg380	dh094	0	1
abg380	dh095	1	0
abg380	dh096	1	0
abg380	dh097	1	0
abg380	dh098	1	0
abg380	dh099	1	0
abg380	dh100	0	1
abg380	dh101	0	1
abg380	dh102	1	0
abg380	dh103	1	0
abg380	dh104	1	0
abg380	dh105	1	0
abg380	dh106	1	0
abg380	dh107	0	1
abg380	dh108	0	1
abg380	dh109	1	0
abg380	dh110	1	0
abg380	dh111	1	0
abg380	dh112	0	1
abg380	dh113	0	1
abg380	dh114	0	1
abg380	dh115	1	0
abg380	dh116	1	0
abg380	dh117	0	1
abg380	dh118	0	1
abg380	dh119	1	0
abg380	dh120	0	1
abg380	dh121	0	1
abg380	dh122	0	1
abg380	dh123	0	1
abg380	dh124	1	0
abg380	dh125	0.993769	0.006231
abg380	dh126	0	1
abg380	dh127	1	0
abg380	dh128	1	0
abg380	dh129	0	1
abg380	dh130	0	1
abg380	dh131	1	0
abg380	dh132	0	1
abg380	dh133	1	0
abg380	dh134	0	1
abg380	dh135	0	1
abg380	dh136	0	1
abg380	dh137	0	1
abg380	dh138	0	1
abg380	dh139	0	1
abg380	dh140	0	1
abg380	dh141	1	0
abg380	dh142	1	0
abg380	dh143	0	1
abg380	dh144	1	0
abg380	dh145	0	1
abg380	dh146	0	1
abg380	dh147	0	1
abg380	dh148	0	1
abg380	dh149	0	1
abg380	dh150	0	1
abc158	dh001	1	0
abc158	dh002	0	1
abc158	dh003	0	1
abc158	dh004	1	0
abc158	dh005	0	1
abc158	dh006	0	1
abc158	dh007	0	1
abc158	dh008	1	0
abc158	dh009	0	1
abc158	dh010	0	1
abc158	dh011	1	0
abc158	dh012	0	1
abc158	dh013	1	0
abc158	dh014	0	1
abc158	dh015	1	0
abc158	dh016	1	0
abc158	dh017	1	0
abc158	dh018	1	0
abc158	dh019	0	1
abc158	dh020	1	0
abc158	dh021	1	0
abc158	dh022	1	0
abc158	dh023	1	0
abc158	dh024	0	1
abc158	dh025	1	0
abc158	dh026	1	0
abc158	dh027	1	0
abc158	dh028	1	0
abc158	dh029	0	1
abc158	dh030	1	0
abc158	dh031	1	0
abc158	dh032	1	0
abc158	dh033	1	0
abc158	dh034	0	1
abc158	dh035	0	1
abc158	dh036	0	1
abc158	dh037	0	1
abc158	dh038	1	0
abc158	dh039	0	1
abc158	dh040	1	0
abc158	dh041	0	1
abc158	dh042	0.997333	0.002667
abc158	dh043	1	0
abc158	dh044	1	0
abc158	dh045	1	0
abc158	dh046	0	1
abc158	dh047	0	1
abc158	dh048	1	0
abc158	dh049	0	1
abc158	dh050	1	0
abc158	dh051	1	0
abc158	dh052	1	0
abc158	dh053	1	0
abc158	dh054	1	0
abc158	dh055	1	0
abc158	dh056	0	1
abc158	dh057	0	1
abc158	dh058	1	0
abc158	dh059	0	1
abc158	dh060	0	1
abc158	dh061	1	0
abc158	dh062	0	1
abc158	dh063	0	1
abc158	dh064	1	0
abc158	dh065	0	1
abc158	dh066	0	1
abc158	dh067	0	1
abc158	dh068	1	0
abc158	dh069	1	0
abc158	dh070	0	1
abc158	dh071	1	0
abc158	dh072	0	1
abc158	dh073	0	1
abc158	dh074	1	0
abc158	dh075	0	1
abc158	dh076	0	1
abc158	dh077	1	0
abc158	dh078	0	1
abc158	dh079	1	0
abc158	dh080	1	0
abc158	dh081	1	0
abc158	dh082	0	1
abc158	dh083	0	1
abc158	dh084	1	0
abc158	dh085	0	1
abc158	dh086	0	1
abc158	dh087	0	1
abc158	dh088	1	0
abc158	dh089	0	1
abc158	dh090	0	1
abc158	dh091	1	0
abc158	dh092	1	0
abc158	dh093	1	0
abc158	dh094	0	1
abc158	dh095	1	0
abc158	dh096	1	0
abc158	dh097	1	0
abc158	dh098	1	0
abc158	dh099	1	0
abc158	dh100	0	1
abc158	dh101	0	1
abc158	dh102	1	0
abc158	dh103	0	1
abc158	dh104	1	0
abc158	dh105	1	0
abc158	dh106	0	1
abc158	dh107	0	1
abc158	dh108	0	1
abc158	dh109	1	0
abc158	dh110	1	0
abc158	dh111	1	0
abc158	dh112	0	1
abc158	dh113	0	1
abc158	dh114	0	1
abc158	dh115	0	1
abc158	dh116	1	0
abc158	dh117	1	0
abc158	dh118	1	0
abc158	dh119	1	0
abc158	dh120	0	1
abc158	dh121	0	1
abc158	dh122	0	1
abc158	dh123	0	1
abc158	dh124	1	0
abc158	dh125	1	0
abc158	dh126	0	1
abc158	dh127	1	0
abc158	dh128	1	0
abc158	dh129	0	1
abc158	dh130	0	1
abc158	dh131	1	0
abc158	dh132	0	1
abc158	dh133	1	0
abc158	dh134	0	1
abc158	dh135	0	1
abc158	dh136	0	1
abc158	dh137	0	1
abc158	dh138	0	1
abc158	dh139	0	1
abc158	dh140	0	1
abc158	dh141	0	1
abc158	dh142	1	0
abc158	dh143	0	1
abc158	dh144	1	0
abc158	dh145	0	1
abc158	dh146	0	1
abc158	dh147	0	1
abc158	dh148	0	1
abc158	dh149	0	1
abc158	dh150	0	1
ksua1a	dh001	1	0
ksua1a	dh002	0	1
ksua1a	dh003	0	1
ksua1a	dh004	1	0
ksua1a	dh005	0	1
ksua1a	dh006	0	1
ksua1a	dh007	0	1
ksua1a	dh008	0.999201	0.000799
ksua1a	dh009	0	1
ksua1a	dh010	0	1
ksua1a	dh011	1	0
ksua1a	dh012	0	1
ksua1a	dh013	1	0
ksua1a	dh014	1	0
ksua1a	dh015	0	1
ksua1a	dh016	1	0
ksua1a	dh017	1	0
ksua1a	dh018	1	0
ksua1a	dh019	0	1
ksua1a	dh020	1	0
ksua1a	dh021	1	0
ksua1a	dh022	0	1
ksua1a	dh023	1	0
ksua1a	dh024	0	1
ksua1a	dh025	1	0
ksua1a	dh026	1	0
ksua1a	dh027	1	0
ksua1a	dh028	1	0
ksua1a	dh029	0	1
ksua1a	dh030	0	1
ksua1a	dh031	1	0
ksua1a	dh032	1	0
ksua1a	dh033	0	1
ksua1a	dh034	0	1
ksua1a	dh035	0	1
ksua1a	dh036	0	1
ksua1a	dh037	0	1
ksua1a	dh038	1	0
ksua1a	dh039	0	1
ksua1a	dh040	1	0
ksua1a	dh041	0	1
ksua1a	dh042	1	0
ksua1a	dh043	1	0
ksua1a	dh044	1	0
ksua1a	dh045	1	0
ksua1a	dh046	0	1
ksua1a	dh047	0	1
ksua1a	dh048	1	0
ksua1a	dh049	0	1
ksua1a	dh050	1	0
ksua1a	dh051	1	0
ksua1a	dh052	1	0
ksua1a	dh053	1	0
ksua1a	dh054	1	0
ksua1a	dh055	0	1
ksua1a	dh056	0	1
ksua1a	dh057	0	1
ksua1a	dh058	1	0
ksua1a	dh059	0	1
ksua1a	dh060	0	1
ksua1a	dh061	1	0
ksua1a	dh062	0	1
ksua1a	dh063	0	1
ksua1a	dh064	1	0
ksua1a	dh065	0	1
ksua1a	dh066	0	1
ksua1a	dh067	0	1
ksua1a	dh068	1	0
ksua1a	dh069	1	0
ksua1a	dh070	0	1
ksua1a	dh071	1	0
ksua1a	dh072	0	1
ksua1a	dh073	0	1
ksua1a	dh074	1	0
ksua1a	dh075	0	1
ksua1a	dh076	0	1
ksua1a	dh077	1	0
ksua1a	dh078	0	1
ksua1a	dh079	1	0
ksua1a	dh080	1	0
ksua1a	dh081	1	0
ksua1a	dh082	0	1
ksua1a	dh083	0	1
ksua1a	dh084	1	0
ksua1a	dh085	0	1
ksua1a	dh086	0	1
ksua1a	dh087	0	1
ksua1a	dh088	1	0
ksua1a	dh089	0	1
ksua1a	dh090	0	1
ksua1a	dh091	1	0
ksua1a	dh092	1	0
ksua1a	dh093	1	0
ksua1a	dh094	0	1
ksua1a	dh095	1	0
ksua1a	dh096	1	0
ksua1a	dh097	1	0
ksua1a	dh098	1	0
ksua1a	dh099	1	0
ksua1a	dh100	0	1
ksua1a	dh101	0	1
ksua1a	dh102	1	0
ksua1a	dh103	0	1
ksua1a	dh104	1	0
ksua1a	dh105	1	0
ksua1a	dh106	0	1
ksua1a	dh107	0	1
ksua1a	dh108	0	1
ksua1a	dh109	1	0
ksua1a	dh110	1	0
ksua1a	dh111	0	1
ksua1a	dh112	0	1
ksua1a	dh113	0	1
ksua1a	dh114	0	1
ksua1a	dh115	0	1
ksua1a	dh116	1	0
ksua1a	dh117	1	0
ksua1a	dh118	1	0
ksua1a	dh119	1	0
ksua1a	dh120	1	0
ksua1a	dh121	0	1
ksua1a	dh122	0	1
ksua1a	dh123	0	1
ksua1a	dh124	1	0
ksua1a	dh125	1	0
ksua1a	dh126	0	1
ksua1a	dh127	1	0
ksua1a	dh128	1	0
ksua1a	dh129	0	1
ksua1a	dh130	0	1
ksua1a	dh131	1	0
ksua1a	dh132	0	1
ksua1a	dh133	1	0
ksua1a	dh134	0	1
ksua1a	dh135	0	1
ksua1a	dh136	0	1
ksua1a	dh137	0	1
ksua1a	dh138	0	1
ksua1a	dh139	0	1
ksua1a	dh140	0	1
ksua1a	dh141	0	1
ksua1a	dh142	1	0
ksua1a	dh143	0	1
ksua1a	dh144	0	1
ksua1a	dh145	0	1
ksua1a	dh146	0	1
ksua1a	dh147	0	1
ksua1a	dh148	0	1
ksua1a	dh149	0	1
ksua1a	dh150	0	1
abc154a	dh001	1	0
abc154a	dh002	0	1
abc154a	dh003	0	1
abc154a	dh004	1	0
abc154a	dh005	0	1
abc154a	dh006	0	1
abc154a	dh007	0	1
abc154a	dh008	1	0
abc154a	dh009	0	1
abc154a	dh010	0	1
abc154a	dh011	1	0
abc154a	dh012	0	1
abc154a	dh013	1	0
abc154a	dh014	0	1
abc154a	dh015	1	0
abc154a	dh016	0	1
abc154a	dh017	1	0
abc154a	dh018	1	0
abc154a	dh019	0	1
abc154a	dh020	1	0
abc154a	dh021	0	1
abc154a	dh022	0	1
abc154a	dh023	1	0
abc154a	dh024	0	1
abc154a	dh025	1	0
abc154a	dh026	1	0
abc154a	dh027	1	0
abc154a	dh028	1	0
abc154a	dh029	0	1
abc154a	dh030	0	1
abc154a	dh031	1	0
abc154a	dh032	1	0
abc154a	dh033	0	1
abc154a	dh034	0	1
abc154a	dh035	0	1
abc154a	dh036	0	1
abc154a	dh037	0	1
abc154a	dh038	1	0
abc154a	dh039	0	1
abc154a	dh040	1	0
abc154a	dh041	0	1
abc154a	dh042	0.809173	0.190827
abc154a	dh043	1	0
abc154a	dh044	1	0
abc154a	dh045	1	0
abc154a	dh046	0	1
abc154a	dh047	0	1
abc154a	dh048	1	0
abc154a	dh049	0	1
abc154a	dh050	1	0
abc154a	dh051	1	0
abc154a	dh052	1	0
abc154a	dh053	1	0
abc154a	dh054	1	0
abc154a	dh055	0	1
abc154a	dh056	0	1
abc154a	dh057	0	1
abc154a	dh058	1	0
abc154a	dh059	0	1
abc154a	dh060	0	1
abc154a	dh061	1	0
abc154a	dh062	0	1
abc154a	dh063	0	1
abc154a	dh064	1	0
abc154a	dh065	0	1
abc154a	dh066	0	1
abc154a	dh067	0	1
abc154a	dh068	1	0
abc154a	dh069	1	0
abc154a	dh070	0	1
abc154a	dh071	1	0
abc154a	dh072	0	1
abc154a	dh073	0	1
abc154a	dh074	1	0
abc154a	dh075	0	1
abc154a	dh076	0	1
abc154a	dh077	1	0
abc154a	dh078	0	1
abc154a	dh079	1	0
abc154a	dh080	1	0
abc154a	dh081	1	0
abc154a	dh082	0	1
abc154a	dh083	0	1
abc154a	dh084	1	0
abc154a	dh085	0	1
abc154a	dh086	0	1
abc154a	dh087	0	1
abc154a	dh088	1	0
abc154a	dh089	0	1
abc154a	dh090	0	1
abc154a	dh091	1	0
abc154a	dh092	1	0
abc154a	dh093	1	0
abc154a	dh094	0	1
abc154a	dh095	1	0
abc154a	dh096	1	0
abc154a	dh097	1	0
abc154a	dh098	1	0
abc154a	dh099	1	0
abc154a	dh100	0	1
abc154a	dh101	0	1
abc154a	dh102	1	0
abc154a	dh103	0	1
abc154a	dh104	1	0
abc154a	dh105	0	1
abc154a	dh106	0	1
abc154a	dh107	0	1
abc154a	dh108	0	1
abc154a	dh109	1	0
abc154a	dh110	1	0
abc154a	dh111	0	1
abc154a	dh112	0	1
abc154a	dh113	0	1
abc154a	dh114	0	1
abc154a	dh115	0	1
abc154a	dh116	1	0
abc154a	dh117	1	0
abc154a	dh118	1	0
abc154a	dh119	1	0
abc154a	dh120	1	0
abc154a	dh121	0	1
abc154a	dh122	0	1
abc154a	dh123	0	1
abc154a	dh124	1	0
abc154a	dh125	1	0
abc154a	dh126	0	1
abc154a	dh127	1	0
abc154a	dh128	1	0
abc154a	dh129	0	1
abc154a	dh130	0	1
abc154a	dh131	1	0
abc154a	dh132	0	1
abc154a	dh133	1	0
abc154a	dh134	0	1
abc154a	dh135	0	1
abc154a	dh136	0	1
abc154a	dh137	0	1
abc154a	dh138	0	1
abc154a	dh139	0	1
abc154a	dh140	0	1
abc154a	dh141	0	1
abc154a	dh142	1	0
abc154a	dh143	0	1
abc154a	dh144	0	1
abc154a	dh145	0	1
abc154a	dh146	0	1
abc154a	dh147	0	1
abc154a	dh148	0	1
abc154a	dh149	0	1
abc154a	dh150	0	1
brz	dh001	1	0
brz	dh002	0	1
brz	dh003	0	1
brz	dh004	1	0
brz	dh005	0	1
brz	dh006	0	1
brz	dh007	0	1
brz	dh008	0.994192	0.005808
brz	dh009	0	1
brz	dh010	1	0
brz	dh011	0.994192	0.005808
brz	dh012	0	1
brz	dh013	0.994192	0.005808
brz	dh014	0	1
brz	dh015	1	0
brz	dh016	0	1
brz	dh017	1	0
brz	dh018	1	0
brz	dh019	0	1
brz	dh020	1	0
brz	dh021	0	1
brz	dh022	0	1
brz	dh023	1	0
brz	dh024	0	1
brz	dh025	1	0
brz	dh026	1	0
brz	dh027	1	0
brz	dh028	1	0
brz	dh029	0	1
brz	dh030	0	1
brz	dh031	1	0
brz	dh032	1	0
brz	dh033	0	1
brz	dh034	1	0
brz	dh035	0	1
brz	dh036	1	0
brz	dh037	0	1
brz	dh038	0	1
brz	dh039	0	1
brz	dh040	1	0
brz	dh041	0	1
brz	dh042	0	1
brz	dh043	1	0
brz	dh044	1	0
brz	dh045	1	0
brz	dh046	0	1
brz	dh047	0	1
brz	dh048	1	0
brz	dh049	0	1
brz	dh050	1	0
brz	dh051	1	0
brz	dh052	1	0
brz	dh053	1	0
brz	dh054	0	1
brz	dh055	0	1
brz	dh056	1	0
brz	dh057	0	1
brz	dh058	1	0
brz	dh059	0	1
brz	dh060	0	1
brz	dh061	1	0
brz	dh062	0	1
brz	dh063	0	1
brz	dh064	1	0
brz	dh065	0	1
brz	dh066	0	1
brz	dh067	0	1
brz	dh068	0	1
brz	dh069	1	0
brz	dh070	0	1
brz	dh071	1	0
brz	dh072	0	1
brz	dh073	0	1
brz	dh074	1	0
brz	dh075	0	1
brz	dh076	0	1
brz	dh077	1	0
brz	dh078	0.005808	0.994192
brz	dh079	0.994192	0.005808
brz	dh080	1	0
brz	dh081	1	0
brz	dh082	0.005808	0.994192
brz	dh083	0	1
brz	dh084	1	0
brz	dh085	0	1
brz	dh086	0	1
